Path length, A* time, HPA* time 
972, 148.2975, 1.6804
975, 194.9293, 1.7246
974, 231.3127, 3.1416
973, 280.66, 3.2972
976, 301.3216, 3.1991
979, 169.1914, 1.9502
980, 167.9562, 1.6491
978, 105.0734, 1.6506
977, 154.7509, 2.1732
983, 175.1871, 2.02
981, 334.9845, 2.4748
982, 250.0822, 2.8428
986, 188.8025, 2.6592
985, 181.5558, 3.079
987, 192.5931, 2.4638
984, 185.9651, 4.1159
991, 192.9409, 2.4375
990, 354.5438, 2.9627
989, 165.9826, 1.8808
988, 230.6054, 2.3224
994, 241.9722, 3.146
996, 230.8867, 2.1869
995, 229.0906, 2.6186
993, 235.8642, 2.0448
999, 184.0895, 1.9528
998, 279.8051, 2.2713
1003, 246.571, 2.3342
1001, 186.5399, 3.4695
1002, 188.3816, 1.6849
1000, 266.5399, 4.0961
1007, 304.4475, 3.6699
1005, 343.3782, 3.6528
1008, 190.9422, 2.0706
1006, 217.8046, 2.3397
1004, 200.6423, 2.9434
1010, 174.772, 2.093
1012, 237.4698, 2.5772
1011, 214.5648, 2.8196
1009, 269.6905, 3.0405
1015, 151.5374, 2.1059
1016, 225.4233, 2.0178
1014, 258.6238, 2.3502
1013, 116.8573, 1.799
1017, 185.1062, 1.9611
1018, 336.445, 5.1663
1019, 212.0448, 2.4862
1023, 265.6303, 1.9241
1024, 131.0396, 2.5197
1021, 239.7218, 3.4809
1020, 115.8071, 1.4757
1022, 180.6047, 2.4691
1026, 196.5702, 2.6509
1025, 199.0027, 2.6188
1028, 163.4362, 1.7738
1027, 250.1579, 3.07
1031, 198.1022, 2.8397
1030, 189.5966, 4.1697
1029, 256.3452, 2.4261
1035, 229.4827, 2.3023
1036, 142.8384, 2.9402
1032, 213.8331, 3.0758
1038, 214.6284, 2.1967
1040, 339.796, 2.485
1037, 207.2036, 2.443
1039, 173.7862, 2.7486
1042, 193.5719, 1.6901
1043, 284.381, 3.5598
1044, 248.4463, 2.3755
1041, 266.294, 2.5146
1047, 192.2038, 2.2593
1046, 154.5887, 2.6711
1045, 195.816, 3.3742
1051, 231.8328, 2.586
1048, 134.796, 1.9251
1052, 233.6388, 2.9708
1049, 496.348, 4.688
1050, 228.6076, 3.2331
1054, 197.1548, 2.1061
1056, 281.6367, 2.3495
1055, 298.846, 3.3157
1053, 258.0271, 3.284
1060, 273.4077, 2.6277
1059, 251.9338, 2.3344
1057, 241.3893, 2.7153
1058, 204.0167, 3.518
1063, 185.1102, 2.2642
1064, 135.9615, 2.3027
1062, 249.3966, 2.3512
1067, 265.1773, 3.1111
1065, 143.5549, 2.6998
1066, 329.2186, 2.5147
1068, 281.6424, 3.0999
1071, 214.7808, 2.5031
1070, 190.9896, 3.2723
